sample,site,reads_total,is_indel_total,is_indel_percent,is_sub_total,is_sub_percent
24EDIT,SgOT35RH_6DBB94C7B9F845EZ0Z,28826,82,0.28446541316866636,26,0.09019635051689402
24EDIT,SgOT36RH_7AED8AAB18A6434Z0Z,65147,4,0.0061399603972553006,51,0.07828449506500545
24EDIT,SgOT40RH_C4CBDD69B16D4F8Z0Z,30815,0,0.0,8,0.0259613824436144
24EDIT,SgOT42RH_15C6A0899E62401Z0Z,14614,0,0.0,8,0.0547420281921445
24EDIT,SgOT43RH_D1281FACCD2D4FEZ0Z,27203,0,0.0,1,0.0036760651398742
24EDIT,SgOT46RH_3435C6DA25E04A3Z0Z,24122,1,0.0041455932343918,2,0.0082911864687836
24EDIT,SgOT48RH_1F33DB76216A4FFZ0Z,37605,1,0.0026592208482914,39,0.1037096130833654
24EDIT,SgOT50RH_B5205F4C00ED488Z0Z,43592,2,0.004587997797761,8,0.0183519911910441
36EDIT,NickOT01RH_62B6A820FDF94C2Z0Z,38754,16,0.041286060793723905,39,0.1006347731847029
36EDIT,NickOT02RH_35BC5AF030D34C7Z0Z,56952,13,0.022826239640398503,9,0.015802781289506403
36EDIT,NickOT03RH_DD6B627905E0458Z0Z,10914,1,0.0091625435220817,23,0.21073850100787953
36EDIT,NickOT04RH_071B887871A845EZ0Z,27143,8,0.029473529086688897,23,0.08473639612423059
36EDIT,NickOT05RH_485B7F52727044CZ0Z,43954,23,0.0523274332256446,52,0.11830550120580509
36EDIT,NickOT06RH_843EDB16D134459Z0Z,8914,5,0.056091541395557505,13,0.1458380076284496
36EDIT,NickOT07RH_BAC613B7B4F5408Z0Z,35469,3,0.008458090163241,13,0.0366517240407113
36EDIT,NickOT08RH_A4470941BD3D458Z0Z,34287,15,0.0437483594365205,33,0.0962463907603452
36EDIT,NickOT09RH_918E7D3A8A7843BZ0Z,44701,5,0.0111854320932416,79,0.1767298270732186
36EDIT,NickOT10RH_2FC8D18557514C0Z0Z,25239,2,0.007924244225207,22,0.0871666864772771
36EDIT,NickOT11RH_486554E8427E4F1Z0Z,18858,12,0.06363347120585411,9,0.04772510340439051
36EDIT,NickOT12RH_DD0DFFFBE66B40BZ0Z,25430,15,0.058985450255603304,24,0.0943767204089649
36EDIT,NickOT13RH_633B440D185C4F9Z0Z,10573,7,0.06620637472808051,6,0.056748321195497706
36EDIT,NickOT14RH_1F6FFA8E1E0847FZ0Z,24684,0,0.0,34,0.13774104683195582
36EDIT,NickOT15RH_B81EB3F2A3FC4EFZ0Z,3078,0,0.0,4,0.1299545159194281
